================ Training Loss (Sun May  4 17:31:20 2025) ================
================ Training Loss (Sun May  4 17:33:02 2025) ================
================ Training Loss (Sun May  4 17:33:35 2025) ================
================ Training Loss (Sun May  4 17:34:23 2025) ================
================ Training Loss (Sun May  4 17:34:55 2025) ================
================ Training Loss (Sun May  4 17:35:17 2025) ================
================ Training Loss (Sun May  4 17:36:29 2025) ================
================ Training Loss (Sun May  4 17:36:51 2025) ================
(epoch: 148, iters: 128, time: 0.142, data: 0.013) D_A: 0.150 G_A: 0.423 cycle_A: 0.740 idt_A: 0.644 D_B: 0.121 G_B: 0.572 cycle_B: 1.433 idt_B: 0.327 
(epoch: 150, iters: 576, time: 0.115, data: 0.011) D_A: 0.215 G_A: 0.626 cycle_A: 0.690 idt_A: 0.630 D_B: 0.170 G_B: 0.292 cycle_B: 1.345 idt_B: 0.302 
(epoch: 153, iters: 448, time: 0.145, data: 0.844) D_A: 0.179 G_A: 0.403 cycle_A: 0.688 idt_A: 0.617 D_B: 0.138 G_B: 0.391 cycle_B: 1.335 idt_B: 0.315 
(epoch: 156, iters: 320, time: 0.145, data: 0.011) D_A: 0.193 G_A: 0.309 cycle_A: 0.674 idt_A: 0.647 D_B: 0.169 G_B: 0.536 cycle_B: 1.381 idt_B: 0.304 
(epoch: 159, iters: 192, time: 0.144, data: 0.011) D_A: 0.154 G_A: 0.481 cycle_A: 0.640 idt_A: 0.572 D_B: 0.163 G_B: 0.665 cycle_B: 1.220 idt_B: 0.286 
(epoch: 162, iters: 64, time: 0.145, data: 0.013) D_A: 0.155 G_A: 0.450 cycle_A: 0.709 idt_A: 0.585 D_B: 0.156 G_B: 0.315 cycle_B: 1.269 idt_B: 0.315 
(epoch: 164, iters: 512, time: 0.149, data: 0.011) D_A: 0.159 G_A: 0.362 cycle_A: 0.648 idt_A: 0.574 D_B: 0.148 G_B: 0.346 cycle_B: 1.291 idt_B: 0.309 
(epoch: 167, iters: 384, time: 0.142, data: 0.012) D_A: 0.197 G_A: 0.265 cycle_A: 0.722 idt_A: 0.580 D_B: 0.132 G_B: 0.461 cycle_B: 1.271 idt_B: 0.316 
(epoch: 170, iters: 256, time: 0.146, data: 0.011) D_A: 0.188 G_A: 0.321 cycle_A: 0.613 idt_A: 0.602 D_B: 0.128 G_B: 0.519 cycle_B: 1.303 idt_B: 0.288 
(epoch: 173, iters: 128, time: 0.144, data: 0.013) D_A: 0.135 G_A: 0.492 cycle_A: 0.748 idt_A: 0.591 D_B: 0.156 G_B: 0.468 cycle_B: 1.290 idt_B: 0.326 
(epoch: 175, iters: 576, time: 0.130, data: 0.012) D_A: 0.185 G_A: 0.532 cycle_A: 0.619 idt_A: 0.615 D_B: 0.152 G_B: 0.416 cycle_B: 1.319 idt_B: 0.279 
(epoch: 178, iters: 448, time: 0.144, data: 0.839) D_A: 0.162 G_A: 0.388 cycle_A: 0.599 idt_A: 0.542 D_B: 0.157 G_B: 0.397 cycle_B: 1.227 idt_B: 0.278 
(epoch: 181, iters: 320, time: 0.144, data: 0.012) D_A: 0.185 G_A: 0.324 cycle_A: 0.606 idt_A: 0.567 D_B: 0.141 G_B: 0.448 cycle_B: 1.170 idt_B: 0.291 
(epoch: 184, iters: 192, time: 0.143, data: 0.012) D_A: 0.182 G_A: 0.539 cycle_A: 0.617 idt_A: 0.532 D_B: 0.162 G_B: 0.410 cycle_B: 1.169 idt_B: 0.292 
(epoch: 187, iters: 64, time: 0.164, data: 0.012) D_A: 0.190 G_A: 0.495 cycle_A: 0.583 idt_A: 0.555 D_B: 0.166 G_B: 0.421 cycle_B: 1.217 idt_B: 0.265 
(epoch: 189, iters: 512, time: 0.144, data: 0.013) D_A: 0.180 G_A: 0.372 cycle_A: 0.620 idt_A: 0.554 D_B: 0.130 G_B: 0.560 cycle_B: 1.181 idt_B: 0.288 
(epoch: 192, iters: 384, time: 0.145, data: 0.012) D_A: 0.181 G_A: 0.417 cycle_A: 0.587 idt_A: 0.536 D_B: 0.145 G_B: 0.481 cycle_B: 1.156 idt_B: 0.278 
(epoch: 195, iters: 256, time: 0.145, data: 0.013) D_A: 0.175 G_A: 0.419 cycle_A: 0.577 idt_A: 0.540 D_B: 0.143 G_B: 0.487 cycle_B: 1.148 idt_B: 0.274 
(epoch: 198, iters: 128, time: 0.147, data: 0.013) D_A: 0.192 G_A: 0.397 cycle_A: 0.600 idt_A: 0.584 D_B: 0.158 G_B: 0.500 cycle_B: 1.222 idt_B: 0.294 
(epoch: 200, iters: 576, time: 0.118, data: 0.013) D_A: 0.178 G_A: 0.415 cycle_A: 0.605 idt_A: 0.562 D_B: 0.153 G_B: 0.460 cycle_B: 1.178 idt_B: 0.285 
